Epoch: [1][0/250], Time: 1.55, Data: 0.69, lr_encoder: 0.020000, lr_decoder: 0.020000, Accuracy: 1.68, Loss: 3.828737
Epoch: [1][20/250], Time: 0.52, Data: 0.14, lr_encoder: 0.019952, lr_decoder: 0.019952, Accuracy: 54.63, Loss: 1.754944
Epoch: [1][40/250], Time: 0.53, Data: 0.13, lr_encoder: 0.019904, lr_decoder: 0.019904, Accuracy: 60.78, Loss: 1.455097
Epoch: [1][60/250], Time: 0.55, Data: 0.14, lr_encoder: 0.019856, lr_decoder: 0.019856, Accuracy: 63.63, Loss: 1.310371
Epoch: [1][80/250], Time: 0.55, Data: 0.14, lr_encoder: 0.019808, lr_decoder: 0.019808, Accuracy: 64.52, Loss: 1.250820
Epoch: [1][100/250], Time: 0.54, Data: 0.14, lr_encoder: 0.019760, lr_decoder: 0.019760, Accuracy: 64.69, Loss: 1.219747
Epoch: [1][120/250], Time: 0.54, Data: 0.13, lr_encoder: 0.019712, lr_decoder: 0.019712, Accuracy: 66.03, Loss: 1.174100
Epoch: [1][140/250], Time: 0.55, Data: 0.14, lr_encoder: 0.019664, lr_decoder: 0.019664, Accuracy: 66.80, Loss: 1.145450
Epoch: [1][160/250], Time: 0.55, Data: 0.14, lr_encoder: 0.019616, lr_decoder: 0.019616, Accuracy: 66.93, Loss: 1.129981
Epoch: [1][180/250], Time: 0.55, Data: 0.14, lr_encoder: 0.019567, lr_decoder: 0.019567, Accuracy: 67.20, Loss: 1.116097
Epoch: [1][200/250], Time: 0.55, Data: 0.14, lr_encoder: 0.019519, lr_decoder: 0.019519, Accuracy: 67.74, Loss: 1.097020
Epoch: [1][220/250], Time: 0.55, Data: 0.14, lr_encoder: 0.019471, lr_decoder: 0.019471, Accuracy: 67.90, Loss: 1.085823
Epoch: [1][240/250], Time: 0.54, Data: 0.13, lr_encoder: 0.019423, lr_decoder: 0.019423, Accuracy: 68.22, Loss: 1.071874
Saving checkpoints...
Epoch: [2][0/250], Time: 0.48, Data: 0.00, lr_encoder: 0.019399, lr_decoder: 0.019399, Accuracy: 52.39, Loss: 1.435011
Epoch: [2][20/250], Time: 0.53, Data: 0.12, lr_encoder: 0.019351, lr_decoder: 0.019351, Accuracy: 69.01, Loss: 0.983402
Epoch: [2][40/250], Time: 0.53, Data: 0.13, lr_encoder: 0.019303, lr_decoder: 0.019303, Accuracy: 68.55, Loss: 0.993663
Epoch: [2][60/250], Time: 0.54, Data: 0.13, lr_encoder: 0.019254, lr_decoder: 0.019254, Accuracy: 69.85, Loss: 0.968587
Epoch: [2][80/250], Time: 0.55, Data: 0.13, lr_encoder: 0.019206, lr_decoder: 0.019206, Accuracy: 69.44, Loss: 0.980931
Epoch: [2][100/250], Time: 0.54, Data: 0.13, lr_encoder: 0.019158, lr_decoder: 0.019158, Accuracy: 68.92, Loss: 0.984993
Epoch: [2][120/250], Time: 0.54, Data: 0.13, lr_encoder: 0.019110, lr_decoder: 0.019110, Accuracy: 68.85, Loss: 0.986254
Epoch: [2][140/250], Time: 0.54, Data: 0.13, lr_encoder: 0.019062, lr_decoder: 0.019062, Accuracy: 69.43, Loss: 0.973833
Epoch: [2][160/250], Time: 0.54, Data: 0.13, lr_encoder: 0.019013, lr_decoder: 0.019013, Accuracy: 69.63, Loss: 0.968404
Epoch: [2][180/250], Time: 0.53, Data: 0.13, lr_encoder: 0.018965, lr_decoder: 0.018965, Accuracy: 69.88, Loss: 0.957526
Epoch: [2][200/250], Time: 0.53, Data: 0.13, lr_encoder: 0.018917, lr_decoder: 0.018917, Accuracy: 69.80, Loss: 0.959002
Epoch: [2][220/250], Time: 0.53, Data: 0.13, lr_encoder: 0.018868, lr_decoder: 0.018868, Accuracy: 69.88, Loss: 0.957017
Epoch: [2][240/250], Time: 0.53, Data: 0.13, lr_encoder: 0.018820, lr_decoder: 0.018820, Accuracy: 70.01, Loss: 0.952114
Saving checkpoints...
Epoch: [3][0/250], Time: 0.49, Data: 0.00, lr_encoder: 0.018796, lr_decoder: 0.018796, Accuracy: 72.77, Loss: 0.846824
Epoch: [3][20/250], Time: 2.42, Data: 0.15, lr_encoder: 0.018748, lr_decoder: 0.018748, Accuracy: 72.28, Loss: 0.906462
Epoch: [3][40/250], Time: 1.53, Data: 0.15, lr_encoder: 0.018699, lr_decoder: 0.018699, Accuracy: 73.77, Loss: 0.870915
Epoch: [3][60/250], Time: 1.21, Data: 0.15, lr_encoder: 0.018651, lr_decoder: 0.018651, Accuracy: 73.34, Loss: 0.877879
Epoch: [3][80/250], Time: 1.06, Data: 0.14, lr_encoder: 0.018602, lr_decoder: 0.018602, Accuracy: 73.25, Loss: 0.879846
Epoch: [3][100/250], Time: 0.95, Data: 0.14, lr_encoder: 0.018554, lr_decoder: 0.018554, Accuracy: 73.76, Loss: 0.864091
